City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Olafsvik,IS,40.1,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
1,Port Alfred,ZA,60.46,few clouds,-33.5906,26.891,The Halyards Hotel
2,Toma,BF,83.34,overcast clouds,12.7667,-2.8833,Auberge de l'amitié
3,Rikitea,PF,73.74,light rain,-23.1203,-134.9692,People ThankYou
4,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Atuona,PF,78.03,light rain,-9.8,-139.0333,Villa Enata
6,Busselton,AU,51.1,scattered clouds,-33.65,115.3333,Observatory Guest House
7,Lagoa,PT,72.01,overcast clouds,39.05,-27.9833,Casa Das Faias
8,Albany,US,60.39,overcast clouds,42.6001,-73.9662,
9,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
10,Soe,ID,78.15,scattered clouds,-9.8607,124.284,Dena Hotel
11,Constitucion,CL,53.04,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
12,Norman Wells,CA,33.44,scattered clouds,65.282,-126.8329,Heritage Hotel
13,Uglegorsk,RU,45.32,overcast clouds,49.0833,142.0333,Primorskaya Gostinitsa
14,Aklavik,CA,30.85,clear sky,68.2191,-135.0107,Aklavik Inn
15,Mareeba,AU,82.49,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
16,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Borohradek,CZ,65.48,light rain,50.0978,16.0933,Veliny 120
18,Dubti,ET,88.81,light rain,11.7361,41.0853,degu Shiferaw
19,Bluff,NZ,65.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
20,Jamestown,US,66.09,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
21,Yellowknife,CA,41.41,mist,62.456,-114.3525,The Explorer Hotel
22,Irara,BR,69.78,broken clouds,-12.05,-38.7667,Hotel Avenida
23,Casablanca,MA,69.33,overcast clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
24,Dikson,RU,36.1,overcast clouds,73.5069,80.5464,
25,Hobart,AU,60.06,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,Chuy,UY,52.86,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
27,East London,ZA,59.23,few clouds,-33.0153,27.9116,Tu Casa
28,General Roca,AR,52.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
29,Ribeira Grande,PT,72.59,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
30,Staunton,US,71.56,broken clouds,38.1496,-79.0717,Hotel 24 South
31,Severo-Kurilsk,RU,44.85,broken clouds,50.6789,156.125,Kak Doma
32,Kashary,RU,41.22,few clouds,49.04,41.0056,Гостиница N 1
33,Qaanaaq,GL,26.55,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
34,Mataura,NZ,65.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
35,Khatanga,RU,30.09,light snow,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
36,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
37,Te Anau,NZ,58.82,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
38,Torbay,CA,47.57,overcast clouds,47.6666,-52.7314,Gallows Cove
39,Denizli,TR,56.25,clear sky,37.8402,29.0698,Anemon Denizli Hotel
40,Porto Nacional,BR,82.4,broken clouds,-10.7081,-48.4172,Vila Real Hotel
41,Moses Lake,US,68.68,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
42,Sao Paulo De Olivenca,BR,73.13,overcast clouds,-3.3783,-68.8725,
43,Leningradskiy,RU,30.42,light snow,69.3833,178.4167,Gostinitsa
44,Hermanus,ZA,57.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Price,US,58.71,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
46,Ushuaia,AR,40.66,clear sky,-54.8,-68.3,Albatros Hotel
47,Ust-Kuyga,RU,26.15,overcast clouds,70.0167,135.6,
48,Dunedin,NZ,52.95,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
49,Bam,IR,74.97,scattered clouds,29.106,58.357,Bam Tourist Hotel
50,Souillac,MU,70.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
51,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
